id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
197	Group of sp|P08641|CADH1_CHICK Cadherin-1 OS=Gallus gallus (Chicken) OX=9031 GN=CDH1 PE=1 SV=2	sp|P08641|CADH1_CHICK (+1)	7	0.9999973918900196	Cadherin-1	CDH1	P08641
198	tr|A0A3Q2UAE7|A0A3Q2UAE7_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047440 PE=4 SV=1	tr|A0A3Q2UAE7|A0A3Q2UAE7_CHICK	2	0.9999973758299348	Ig-like domain-containing protein	ENSGALG00000047440	A0A3Q2UAE7
199	tr|F1NLQ0|F1NLQ0_CHICK EGF-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=HEG1 PE=4 SV=4	tr|F1NLQ0|F1NLQ0_CHICK	2	0.9999973496499024	EGF-like domain-containing protein	HEG1	F1NLQ0
200	tr|E1C206|E1C206_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPIA5 PE=3 SV=4	tr|E1C206|E1C206_CHICK	11	0.9999972635300765	SERPIN domain-containing protein	SPIA5	E1C206
201	tr|A0A1D5NW08|A0A1D5NW08_CHICK Coagulation factor VIII OS=Gallus gallus (Chicken) OX=9031 GN=F8 PE=3 SV=1	tr|A0A1D5NW08|A0A1D5NW08_CHICK	21	0.999997157540065	Coagulation factor VIII	F8	A0A1D5NW08
202	tr|A0A1D5P5X4|A0A1D5P5X4_CHICK Hephaestin OS=Gallus gallus (Chicken) OX=9031 GN=HEPH PE=3 SV=1	tr|A0A1D5P5X4|A0A1D5P5X4_CHICK	18	0.9999970441399455	Hephaestin	HEPH	A0A1D5P5X4
203	tr|F1NWP1|F1NWP1_CHICK Coagulation factor IX OS=Gallus gallus (Chicken) OX=9031 GN=F9 PE=3 SV=1	tr|F1NWP1|F1NWP1_CHICK	8	0.9999967008500334	Coagulation factor IX	F9	F1NWP1
204	tr|A0A3Q2U4V6|A0A3Q2U4V6_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050397 PE=4 SV=1	tr|A0A3Q2U4V6|A0A3Q2U4V6_CHICK	3	0.9999965731899465	Ig-like domain-containing protein	ENSGALG00000050397	A0A3Q2U4V6
205	tr|F1NRM4|F1NRM4_CHICK Glyco_18 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CTBS PE=3 SV=3	tr|F1NRM4|F1NRM4_CHICK	8	0.9999965511299251	Glyco_18 domain-containing protein	CTBS	F1NRM4
206	tr|A0A1D5PAE8|A0A1D5PAE8_CHICK Leukotriene A(4) hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=LTA4H PE=3 SV=1	tr|A0A1D5PAE8|A0A1D5PAE8_CHICK	16	0.9999963075299547	Leukotriene A(4) hydrolase	LTA4H	A0A1D5PAE8
207	tr|A0A1D5NXJ7|A0A1D5NXJ7_CHICK Cell adhesion molecule 1 OS=Gallus gallus (Chicken) OX=9031 GN=CADM1 PE=4 SV=1	tr|A0A1D5NXJ7|A0A1D5NXJ7_CHICK	5	0.9999962156000493	Cell adhesion molecule 1	CADM1	A0A1D5NXJ7
208	tr|F1N9G4|F1N9G4_CHICK Phospholipase A(2) OS=Gallus gallus (Chicken) OX=9031 GN=PLA2G1B PE=3 SV=2	tr|F1N9G4|F1N9G4_CHICK	1	0.9999961778398756	Phospholipase A(2)	PLA2G1B	F1N9G4
209	tr|A0A1D5PUZ5|A0A1D5PUZ5_CHICK Alpha-amylase OS=Gallus gallus (Chicken) OX=9031 GN=AMY2A PE=3 SV=1	tr|A0A1D5PUZ5|A0A1D5PUZ5_CHICK	9	0.9999961499502206	Alpha-amylase	AMY2A	A0A1D5PUZ5
210	tr|A0A1D5NY41|A0A1D5NY41_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PGLYRP2 PE=4 SV=1	tr|A0A1D5NY41|A0A1D5NY41_CHICK	8	0.9999959439901431	Uncharacterized protein	PGLYRP2	A0A1D5NY41
211	tr|R4GM10|R4GM10_CHICK Fructose-bisphosphate aldolase OS=Gallus gallus (Chicken) OX=9031 GN=ALDOC PE=3 SV=1	tr|R4GM10|R4GM10_CHICK	11	0.9999959386900628	Fructose-bisphosphate aldolase	ALDOC	R4GM10
212	tr|A0A1D5P380|A0A1D5P380_CHICK EGF containing fibulin extracellular matrix protein 1 OS=Gallus gallus (Chicken) OX=9031 GN=EFEMP1 PE=4 SV=2	tr|A0A1D5P380|A0A1D5P380_CHICK	12	0.9999959020601636	EGF containing fibulin extracellular matrix protein 1	EFEMP1	A0A1D5P380
213	tr|F1NZ84|F1NZ84_CHICK Coagulation factor XIII B chain OS=Gallus gallus (Chicken) OX=9031 GN=F13B PE=4 SV=5	tr|F1NZ84|F1NZ84_CHICK	13	0.9999956812498567	Coagulation factor XIII B chain	F13B	F1NZ84
214	tr|A0A3Q3AIA0|A0A3Q3AIA0_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054661 PE=4 SV=1	tr|A0A3Q3AIA0|A0A3Q3AIA0_CHICK	5	0.9999956530000418	Ig-like domain-containing protein	ENSGALG00000054661	A0A3Q3AIA0
215	sp|P34065|PSB5_CHICK Proteasome subunit beta type-5 OS=Gallus gallus (Chicken) OX=9031 GN=PSMB5 PE=2 SV=2	sp|P34065|PSB5_CHICK	6	0.9999956215901875	Proteasome subunit beta type-5	PSMB5	P34065
216	Group of sp|Q90986|LY6E_CHICK Lymphocyte antigen 6E OS=Gallus gallus (Chicken) OX=9031 GN=LY6E PE=2 SV=1	sp|Q90986|LY6E_CHICK (+1)	1	0.9999955032099024	Lymphocyte antigen 6E	LY6E	Q90986
217	tr|A0A3Q2UFG5|A0A3Q2UFG5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052804 PE=4 SV=1	tr|A0A3Q2UFG5|A0A3Q2UFG5_CHICK	3	0.9999953952601572	Ig-like domain-containing protein	ENSGALG00000052804	A0A3Q2UFG5
218	sp|O57535|NDK_CHICK Nucleoside diphosphate kinase OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000002932 PE=2 SV=1	sp|O57535|NDK_CHICK	7	0.9999952513999233	Nucleoside diphosphate kinase	ENSGALG00000002932	O57535
219	sp|O42220|GDF8_CHICK Growth/differentiation factor 8 OS=Gallus gallus (Chicken) OX=9031 GN=MSTN PE=2 SV=1	sp|O42220|GDF8_CHICK	6	0.9999951455602059	Growth/differentiation factor 8	MSTN	O42220
220	Group of sp|Q2IAL6|CTHL3_CHICK Cathelicidin-3 OS=Gallus gallus (Chicken) OX=9031 GN=CATHL3 PE=1 SV=1	sp|Q2IAL6|CTHL3_CHICK (+1)	3	0.9999949805301185	Cathelicidin-3	CATHL3	Q2IAL6
221	tr|F1P291|F1P291_CHICK Kazal-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPARC PE=4 SV=1	tr|F1P291|F1P291_CHICK	10	0.9999949782700241	Kazal-like domain-containing protein	SPARC	F1P291
222	tr|A0A1D5NWP0|A0A1D5NWP0_CHICK Peptidase S1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CELA1 PE=3 SV=2	tr|A0A1D5NWP0|A0A1D5NWP0_CHICK	2	0.9999946132497826	Peptidase S1 domain-containing protein	CELA1	A0A1D5NWP0
223	tr|A0A1D5PF99|A0A1D5PF99_CHICK Heparan sulfate proteoglycan 2 OS=Gallus gallus (Chicken) OX=9031 GN=HSPG2 PE=4 SV=2	tr|A0A1D5PF99|A0A1D5PF99_CHICK	37	0.9999945587001093	Heparan sulfate proteoglycan 2	HSPG2	A0A1D5PF99
224	Group of sp|Q98917|PMEL_CHICK Melanocyte protein PMEL OS=Gallus gallus (Chicken) OX=9031 GN=PMEL PE=1 SV=3	sp|Q98917|PMEL_CHICK (+1)	3	0.9999943811499179	Melanocyte protein PMEL	PMEL	Q98917
225	tr|F1NAP7|F1NAP7_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MASP2 PE=3 SV=3	tr|F1NAP7|F1NAP7_CHICK	5	0.9999943755301501	Uncharacterized protein	MASP2	F1NAP7
226	tr|A0A1D5P2X6|A0A1D5P2X6_CHICK Stabilin 1 OS=Gallus gallus (Chicken) OX=9031 GN=STAB1 PE=4 SV=2	tr|A0A1D5P2X6|A0A1D5P2X6_CHICK	20	0.9999942380300126	Stabilin 1	STAB1	A0A1D5P2X6
227	tr|F1NRD4|F1NRD4_CHICK C1q domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ADIPOQ PE=4 SV=1	tr|F1NRD4|F1NRD4_CHICK	3	0.9999941019000289	C1q domain-containing protein	ADIPOQ	F1NRD4
228	tr|R4GHQ6|R4GHQ6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ST8SIA4 PE=3 SV=1	tr|R4GHQ6|R4GHQ6_CHICK	7	0.9999940730099297	Uncharacterized protein	ST8SIA4	R4GHQ6
229	Group of sp|P20785|CO6A1_CHICK Collagen alpha-1(VI) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL6A1 PE=2 SV=1	sp|P20785|CO6A1_CHICK (+1)	13	0.9999938216501505	Collagen alpha-1(VI) chain	COL6A1	P20785
230	sp|P08629|THIO_CHICK Thioredoxin OS=Gallus gallus (Chicken) OX=9031 GN=TXN PE=3 SV=2	sp|P08629|THIO_CHICK	3	0.9999938025398478	Thioredoxin	TXN	P08629
231	sp|P07630|CAH2_CHICK Carbonic anhydrase 2 OS=Gallus gallus (Chicken) OX=9031 GN=CA2 PE=2 SV=3	sp|P07630|CAH2_CHICK	9	0.9999936990998322	Carbonic anhydrase 2	CA2	P07630
232	Group of sp|Q90890|LY86_CHICK Lymphocyte antigen 86 OS=Gallus gallus (Chicken) OX=9031 GN=LY86 PE=1 SV=1	sp|Q90890|LY86_CHICK (+1)	3	0.9999936544400043	Lymphocyte antigen 86	LY86	Q90890
233	sp|P00504|AATC_CHICK Aspartate aminotransferase, cytoplasmic OS=Gallus gallus (Chicken) OX=9031 GN=GOT1 PE=1 SV=3	sp|P00504|AATC_CHICK	11	0.9999936418998914	Aspartate aminotransferase, cytoplasmic	GOT1	P00504
234	tr|F1NEL5|F1NEL5_CHICK Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase OS=Gallus gallus (Chicken) OX=9031 GN=MGAT5 PE=4 SV=2	tr|F1NEL5|F1NEL5_CHICK	8	0.9999936252897896	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	MGAT5	F1NEL5
235	tr|A0A1L1RWP3|A0A1L1RWP3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=DMBT1L PE=4 SV=2	tr|A0A1L1RWP3|A0A1L1RWP3_CHICK	10	0.9999934353600111	Uncharacterized protein	DMBT1L	A0A1L1RWP3
236	Group of sp|P13538|MYSS_CHICK Myosin heavy chain, skeletal muscle, adult OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=4	sp|P13538|MYSS_CHICK (+1)	18	0.99999343528998	Myosin heavy chain, skeletal muscle, adult	-	P13538
237	tr|A0A1D5PGI8|A0A1D5PGI8_CHICK ADAM_CR_2 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000033597 PE=4 SV=2	tr|A0A1D5PGI8|A0A1D5PGI8_CHICK	5	0.9999934284601295	ADAM_CR_2 domain-containing protein	ENSGALG00000033597	A0A1D5PGI8
238	tr|A0A3Q2U676|A0A3Q2U676_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LCP1 PE=4 SV=1	tr|A0A3Q2U676|A0A3Q2U676_CHICK	18	0.9999932198797978	Uncharacterized protein	LCP1	A0A3Q2U676
239	tr|A0A1L1RKJ5|A0A1L1RKJ5_CHICK Carboxypeptidase OS=Gallus gallus (Chicken) OX=9031 GN=CTSA PE=3 SV=1	tr|A0A1L1RKJ5|A0A1L1RKJ5_CHICK	6	0.9999930513699837	Carboxypeptidase	CTSA	A0A1L1RKJ5
240	tr|A0A1L1RSJ4|A0A1L1RSJ4_CHICK Fe2OG dioxygenase domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PLOD2 PE=4 SV=2	tr|A0A1L1RSJ4|A0A1L1RSJ4_CHICK	9	0.9999926009199953	Fe2OG dioxygenase domain-containing protein	PLOD2	A0A1L1RSJ4
241	sp|P16419|MYPC2_CHICK Myosin-binding protein C, fast-type OS=Gallus gallus (Chicken) OX=9031 GN=MYBPC2 PE=1 SV=3	sp|P16419|MYPC2_CHICK	10	0.9999923863701952	Myosin-binding protein C, fast-type	MYBPC2	P16419
242	tr|A0A3Q2UGF7|A0A3Q2UGF7_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC423629 PE=4 SV=1	tr|A0A3Q2UGF7|A0A3Q2UGF7_CHICK	4	0.9999923019995549	Uncharacterized protein	LOC423629	A0A3Q2UGF7
243	tr|F1NW02|F1NW02_CHICK Alpha-amylase OS=Gallus gallus (Chicken) OX=9031 GN=AMY1A PE=3 SV=3	tr|F1NW02|F1NW02_CHICK	11	0.9999922134202279	Alpha-amylase	AMY1A	F1NW02
244	tr|A0A1D5PXN3|A0A1D5PXN3_CHICK Ectonucleotide pyrophosphatase/phosphodiesterase 3 OS=Gallus gallus (Chicken) OX=9031 GN=ENPP3 PE=4 SV=2	tr|A0A1D5PXN3|A0A1D5PXN3_CHICK	4	0.9999919746096566	Ectonucleotide pyrophosphatase/phosphodiesterase 3	ENPP3	A0A1D5PXN3
245	sp|Q5ZKC9|1433Z_CHICK 14-3-3 protein zeta OS=Gallus gallus (Chicken) OX=9031 GN=YWHAZ PE=2 SV=1	sp|Q5ZKC9|1433Z_CHICK	6	0.9999918706398603	14-3-3 protein zeta	YWHAZ	Q5ZKC9
246	sp|P00698|LYSC_CHICK Lysozyme C OS=Gallus gallus (Chicken) OX=9031 GN=LYZ PE=1 SV=1	sp|P00698|LYSC_CHICK	4	0.9999914296504357	Lysozyme C	LYZ	P00698
247	tr|F1NJD5|F1NJD5_CHICK Desmoglein 2 OS=Gallus gallus (Chicken) OX=9031 GN=DSG2 PE=4 SV=3	tr|F1NJD5|F1NJD5_CHICK	11	0.9999913319797997	Desmoglein 2	DSG2	F1NJD5
248	tr|F1NQF6|F1NQF6_CHICK Alpha-mannosidase OS=Gallus gallus (Chicken) OX=9031 GN=MAN2B2 PE=3 SV=3	tr|F1NQF6|F1NQF6_CHICK	11	0.9999910636197455	Alpha-mannosidase	MAN2B2	F1NQF6
249	tr|A0A3Q2UG49|A0A3Q2UG49_CHICK CN hydrolase domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=BTD PE=4 SV=1	tr|A0A3Q2UG49|A0A3Q2UG49_CHICK	7	0.9999906413204371	CN hydrolase domain-containing protein	BTD	A0A3Q2UG49
250	tr|E1BWG1|E1BWG1_CHICK TGc domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=F13A1 PE=4 SV=3	tr|E1BWG1|E1BWG1_CHICK	11	0.9999904687701928	TGc domain-containing protein	F13A1	E1BWG1
251	Group of sp|Q98949|TYRO3_CHICK Tyrosine-protein kinase receptor TYRO3 OS=Gallus gallus (Chicken) OX=9031 GN=TYRO3 PE=1 SV=1	sp|Q98949|TYRO3_CHICK (+1)	2	0.9999903650195847	Tyrosine-protein kinase receptor TYRO3	TYRO3	Q98949
252	tr|A0A1D5PLM9|A0A1D5PLM9_CHICK CN hydrolase domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048781 PE=4 SV=2	tr|A0A1D5PLM9|A0A1D5PLM9_CHICK	4	0.9999902960098552	CN hydrolase domain-containing protein	ENSGALG00000048781	A0A1D5PLM9
253	tr|A0A3Q2TX84|A0A3Q2TX84_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054437 PE=4 SV=1	tr|A0A3Q2TX84|A0A3Q2TX84_CHICK	2	0.9999901544597378	Ig-like domain-containing protein	ENSGALG00000054437	A0A3Q2TX84
254	tr|Q9W6J2|Q9W6J2_CHICK Glutathione S-transferase class-alpha OS=Gallus gallus (Chicken) OX=9031 GN=GSTA4 PE=2 SV=1	tr|Q9W6J2|Q9W6J2_CHICK	6	0.9999900420698395	Glutathione S-transferase class-alpha	GSTA4	Q9W6J2
255	sp|P25155|FA10_CHICK Coagulation factor X OS=Gallus gallus (Chicken) OX=9031 GN=F10 PE=1 SV=1	sp|P25155|FA10_CHICK	8	0.9999899026997809	Coagulation factor X	F10	P25155
256	tr|A0A1D5PL70|A0A1D5PL70_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MCAM PE=4 SV=2	tr|A0A1D5PL70|A0A1D5PL70_CHICK	5	0.9999898053001743	Uncharacterized protein	MCAM	A0A1D5PL70
257	tr|F1NT19|F1NT19_CHICK Superoxide dismutase OS=Gallus gallus (Chicken) OX=9031 GN=SOD2 PE=3 SV=1	tr|F1NT19|F1NT19_CHICK	3	0.9999891718998697	Superoxide dismutase	SOD2	F1NT19
258	tr|F1NGY6|F1NGY6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PROC PE=3 SV=1	tr|F1NGY6|F1NGY6_CHICK	3	0.999989075799931	Uncharacterized protein	PROC	F1NGY6
259	tr|F1P256|F1P256_CHICK Integrin subunit beta like 1 OS=Gallus gallus (Chicken) OX=9031 GN=ITGBL1 PE=4 SV=4	tr|F1P256|F1P256_CHICK	7	0.9999889980999797	Integrin subunit beta like 1	ITGBL1	F1P256
260	Group of sp|F1NPQ2|MINP1_CHICK Multiple inositol polyphosphate phosphatase 1 OS=Gallus gallus (Chicken) OX=9031 GN=MINPP1 PE=1 SV=3	sp|F1NPQ2|MINP1_CHICK (+1)	10	0.9999889363998591	Multiple inositol polyphosphate phosphatase 1	MINPP1	F1NPQ2
261	tr|A0A1D5NU66|A0A1D5NU66_CHICK Platelet derived growth factor receptor beta OS=Gallus gallus (Chicken) OX=9031 GN=PDGFRB PE=3 SV=2	tr|A0A1D5NU66|A0A1D5NU66_CHICK	4	0.9999887808999119	Platelet derived growth factor receptor beta	PDGFRB	A0A1D5NU66
262	sp|P12108|CO9A2_CHICK Collagen alpha-2(IX) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL9A2 PE=1 SV=3	sp|P12108|CO9A2_CHICK	2	0.9999880483001107	Collagen alpha-2(IX) chain	COL9A2	P12108
263	tr|R4GH86|R4GH86_CHICK Glutathione peroxidase OS=Gallus gallus (Chicken) OX=9031 GN=GPX1 PE=3 SV=3	tr|R4GH86|R4GH86_CHICK	3	0.9999878779999563	Glutathione peroxidase	GPX1	R4GH86
264	tr|A0A1D5P246|A0A1D5P246_CHICK ZP domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000038396 PE=4 SV=3	tr|A0A1D5P246|A0A1D5P246_CHICK	3	0.9999878549997447	ZP domain-containing protein	ENSGALG00000038396	A0A1D5P246
265	tr|A0A3Q2UAW0|A0A3Q2UAW0_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000046947 PE=4 SV=1	tr|A0A3Q2UAW0|A0A3Q2UAW0_CHICK	3	0.9999878138996792	Ig-like domain-containing protein	ENSGALG00000046947	A0A3Q2UAW0
266	sp|Q90610|NEO1_CHICK Neogenin OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|Q90610|NEO1_CHICK	12	0.9999876986003073	Neogenin	-	Q90610
267	tr|R4GIZ2|R4GIZ2_CHICK LamGL domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PTX3 PE=4 SV=2	tr|R4GIZ2|R4GIZ2_CHICK	6	0.9999876906003919	LamGL domain-containing protein	PTX3	R4GIZ2
268	sp|P51890|LUM_CHICK Lumican OS=Gallus gallus (Chicken) OX=9031 GN=LUM PE=1 SV=1	sp|P51890|LUM_CHICK	8	0.9999876106003285	Lumican	LUM	P51890
269	tr|A0A3Q2U291|A0A3Q2U291_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051617 PE=4 SV=1	tr|A0A3Q2U291|A0A3Q2U291_CHICK	2	0.9999874882996664	Ig-like domain-containing protein	ENSGALG00000051617	A0A3Q2U291
270	tr|F1NPN3|F1NPN3_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SERPINA10 PE=3 SV=3	tr|F1NPN3|F1NPN3_CHICK	15	0.9999873480001042	SERPIN domain-containing protein	SERPINA10	F1NPN3
271	Group of sp|Q90827|NEL_CHICK Protein NEL OS=Gallus gallus (Chicken) OX=9031 GN=NEL PE=2 SV=1	sp|Q90827|NEL_CHICK (+1)	16	0.9999871384998187	Protein NEL	NEL	Q90827
272	tr|A0A3Q2UJK8|A0A3Q2UJK8_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000053477 PE=4 SV=1	tr|A0A3Q2UJK8|A0A3Q2UJK8_CHICK	5	0.9999869702996875	Ig-like domain-containing protein	ENSGALG00000053477	A0A3Q2UJK8
273	tr|E1C733|E1C733_CHICK SCY domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CCL26 PE=2 SV=1	tr|E1C733|E1C733_CHICK	4	0.999986951599567	SCY domain-containing protein	CCL26	E1C733
274	tr|F1NZ70|F1NZ70_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=NOTCH1 PE=4 SV=3	tr|F1NZ70|F1NZ70_CHICK	7	0.999986854099916	Uncharacterized protein	NOTCH1	F1NZ70
275	tr|E1C7M0|E1C7M0_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CPN1 PE=4 SV=1	tr|E1C7M0|E1C7M0_CHICK	6	0.9999867836004341	Uncharacterized protein	CPN1	E1C7M0
276	tr|Q5ZJX9|Q5ZJX9_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA5 PE=2 SV=1	tr|Q5ZJX9|Q5ZJX9_CHICK	4	0.9999866114003453	Proteasome subunit alpha type	PSMA5	Q5ZJX9
277	Group of sp|P0C1H3|H2B1_CHICK Histone H2B 1/2/3/4/6 OS=Gallus gallus (Chicken) OX=9031 GN=H2B-II PE=1 SV=2	sp|P0C1H3|H2B1_CHICK (+3)	4	0.9999850254998819	Histone H2B 1/2/3/4/6	H2B-II	P0C1H3
278	tr|A0A3Q2U5H6|A0A3Q2U5H6_CHICK Sortilin OS=Gallus gallus (Chicken) OX=9031 GN=SORT1 PE=4 SV=1	tr|A0A3Q2U5H6|A0A3Q2U5H6_CHICK	3	0.9999846950995561	Sortilin	SORT1	A0A3Q2U5H6
279	Group of sp|P08070|TBA2_CHICK Tubulin alpha-2 chain OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|P08070|TBA2_CHICK (+1)	3	0.9999846705995878	Tubulin alpha-2 chain	-	P08070
280	tr|A0A1D5P198|A0A1D5P198_CHICK Tubulin alpha chain OS=Gallus gallus (Chicken) OX=9031 GN=LOC100859737 PE=3 SV=2	tr|A0A1D5P198|A0A1D5P198_CHICK	8	0.9999846705995878	Tubulin alpha chain	LOC100859737	A0A1D5P198
281	sp|Q05744|CATD_CHICK Cathepsin D OS=Gallus gallus (Chicken) OX=9031 GN=CTSD PE=1 SV=1	sp|Q05744|CATD_CHICK	6	0.999984534100804	Cathepsin D	CTSD	Q05744
282	sp|Q9W6H0|MIME_CHICK Mimecan OS=Gallus gallus (Chicken) OX=9031 GN=OGN PE=2 SV=1	sp|Q9W6H0|MIME_CHICK	4	0.999984482599757	Mimecan	OGN	Q9W6H0
283	Group of sp|P35440|TSP2_CHICK Thrombospondin-2 OS=Gallus gallus (Chicken) OX=9031 GN=THBS2 PE=2 SV=1	sp|P35440|TSP2_CHICK (+1)	6	0.9999843677996978	Thrombospondin-2	THBS2	P35440
284	tr|A0A1D5PUF0|A0A1D5PUF0_CHICK Dipeptidase OS=Gallus gallus (Chicken) OX=9031 GN=DPEP1 PE=3 SV=2	tr|A0A1D5PUF0|A0A1D5PUF0_CHICK	5	0.9999842972993065	Dipeptidase	DPEP1	A0A1D5PUF0
285	tr|A0A3Q2TTU9|A0A3Q2TTU9_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048259 PE=4 SV=1	tr|A0A3Q2TTU9|A0A3Q2TTU9_CHICK	4	0.999984103400493	Ig-like domain-containing protein	ENSGALG00000048259	A0A3Q2TTU9
286	sp|P19121|ALBU_CHICK Serum albumin OS=Gallus gallus (Chicken) OX=9031 GN=ALB PE=1 SV=2	sp|P19121|ALBU_CHICK	49	0.9999840802993276	Serum albumin	ALB	P19121
287	tr|F1NJD7|F1NJD7_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=DSC1 PE=4 SV=3	tr|F1NJD7|F1NJD7_CHICK	1	0.9999838882995391	Uncharacterized protein	DSC1	F1NJD7
288	tr|F1NDP3|F1NDP3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=FAP PE=3 SV=5	tr|F1NDP3|F1NDP3_CHICK	9	0.9999838333005755	Uncharacterized protein	FAP	F1NDP3
289	Group of sp|P00340|LDHA_CHICK L-lactate dehydrogenase A chain OS=Gallus gallus (Chicken) OX=9031 GN=LDHA PE=1 SV=3	sp|P00340|LDHA_CHICK (+1)	7	0.9999837808991288	L-lactate dehydrogenase A chain	LDHA	P00340
290	tr|F1NC02|F1NC02_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA4 PE=3 SV=2	tr|F1NC02|F1NC02_CHICK	4	0.9999836011993466	Proteasome subunit alpha type	PSMA4	F1NC02
291	tr|A0A3Q2U4J3|A0A3Q2U4J3_CHICK Sema domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PLXNB2 PE=4 SV=1	tr|A0A3Q2U4J3|A0A3Q2U4J3_CHICK	12	0.9999833772999409	Sema domain-containing protein	PLXNB2	A0A3Q2U4J3
292	tr|E1BSL7|E1BSL7_CHICK Thioredoxin domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ERP44 PE=4 SV=3	tr|E1BSL7|E1BSL7_CHICK	1	0.9999830847991689	Thioredoxin domain-containing protein	ERP44	E1BSL7
293	Group of sp|P08940|MIM1_CHICK Myeloid protein 1 OS=Gallus gallus (Chicken) OX=9031 GN=MIM1 PE=1 SV=2	sp|P08940|MIM1_CHICK (+1)	5	0.9999830841006769	Myeloid protein 1	MIM1	P08940
294	Group of sp|P28675|PGS2_CHICK Decorin OS=Gallus gallus (Chicken) OX=9031 GN=DCN PE=1 SV=1	sp|P28675|PGS2_CHICK (+1)	3	0.9999828797008377	Decorin	DCN	P28675
295	tr|A0A3Q2TX54|A0A3Q2TX54_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000055104 PE=4 SV=1	tr|A0A3Q2TX54|A0A3Q2TX54_CHICK	5	0.9999828396994417	Ig-like domain-containing protein	ENSGALG00000055104	A0A3Q2TX54
296	tr|A0A1D5PYF0|A0A1D5PYF0_CHICK Glyco_18 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000031807 PE=3 SV=2	tr|A0A1D5PYF0|A0A1D5PYF0_CHICK	3	0.9999827171996003	Glyco_18 domain-containing protein	ENSGALG00000031807	A0A1D5PYF0
